Adversarial_SMS_Text,True_Label,Unimodal_Prediction,Hybrid_Prediction,Hybrid_Correct,Hybrid_Won_Where_Uni_Failed
the i​рl frenzy begins here at slоunge enjоy this cricket seasоn with оur exclusive buy get free оffer lemоn tree рremier baniрark call,1.0,1,1,True,False
urgent action require please verifу уour credit ca​rd detail to receive уour refund http://refund online.info apple inc,1.0,1,1,True,False
at hand canada uk us s/africa tоur оf grоuр travling. start рrоcеsing nоw and chееk-оut bеf​оrе еasthеr реriоd. limitеd sрacе.call in tо lеrn mоrе 00000000000.,1.0,0,1,True,True
lаst dау gеt rs cаshbаck аs olа monеу on уour fi​rst olа аuto ridе in bаngаlorе gеt thе арр www olа bz b аnd chаloniklo,1.0,0,1,True,True
dhаmаkedаr offer diаl аnd get а chаnce to win iрhone s in just rs else get worth rs couрon аbsolutelу free diаl toll​free for offers,1.0,1,1,True,False
sрicеjеt fеstivе salе airfarеs start frоm rs.000 оn via.cоm еxtra uр tо rs xxxx оff usе cоdе viadоm httр://bit.ly/0рqkt00,1.0,1,1,True,False
dear customer get free gold coin eхtra off on diamond jewellery on wwwjewelsoukcom with hdfc bank cre​dit cards till maytc httpbitlynayvz,1.0,1,1,True,False
thank уоu fоr рaуment оf rs tоwards sernо  сliсk httрsagооglrуggо  tо dоwnlоad the tрl aрр fоr easу рaуment орtiоns  alerts  mоre,1.0,0,1,True,True
"you just received а cаll from а cаllertunez subscriber. wаnt to join the tre​nd? text 00 to 0000 to get ""fаll in love"" by prаise. n00/week.diаl *000# for more tunez.",1.0,1,1,True,False
mоby рub quiz.win a ã¥â£000 high street рrize if u kn​оw whо the new duchess оf cоrnwall will be? tхt her first name tо 00000.unsub stор ã¥â£0.00 000000000000 sр,1.0,1,1,True,False
chееr with foodраndа g​еt rs off on your first ordеr usе codе fрnеw to suррort thе tеаm аnd stаnd а chаncе to win аn iрhonе ordеr now googlkltm,1.0,0,1,True,True
special оffers оn winter cоsmetics  metrо buy winter cоsmetics fоr rs   rs   get free gift wоrth rs  rs respectively valid till st jan tca,1.0,1,1,True,False
maharashtra роlice invite уоu tо рaу уоur traffic challan thrоugh the оnline l​оk adalat via sama click here httр://оdr.sama.live/ /nmr/q000000000,1.0,1,1,True,False
get аdvice on mаnаgement of hiv/аids аnd рrevention of mother​-child trаnsmission; cаll 0000 now аbsolutelу free! etisаlаt - suррorting а heаlthier nаtion,1.0,0,1,True,True
lаst dаys tо аvаil the sрeсiаl inаugurаl оffer аt the bibа srinаgаr rоаd аjmer stоre shор fоr rs g​et а gift vоuсher wоrth rs tс,1.0,0,1,True,True
"urgent! deаr fl0рkаrt customer, we аre trying to contаct you. lаst weekends drаw shows thаt you w0n а rs.0,00,000 рrize guаrа​nteed. cаll 0000000000. clаim code fliр00. vаlid 00hrs only.",1.0,0,1,True,True
dbs your аccount hаve be temporаrily suspend аnd some ser​vice limit pleаse confirm your detаil by visit http://dbs-logino,1.0,1,1,True,False
deаr custоmer yоur bооk оrder very lucky cоngrаtulаtiоn yоu be win the first prize tаtа sаfаri cаr fоr аmоunt chоice yоur pr​ize helpline аnd whаtsаpp nо.0000000000 custоmer service.00000000000 www.flipkаrtshоppingwinprize.cоm,1.0,1,1,True,False
interac e transfer 000.00 refund receive frоm rоgrs cоmmuni​catiоns tо deроsit visit httр://rоgrs.ca-deроsit funds.tор,1.0,1,1,True,False
runbеliеvаblе offеr sеmi furnishеd b​hk аpаrtmеnts in crossing rеpublic nh rs psf sizе stаrting from sqft cаll,1.0,0,1,True,True
strongest g quadcore android smartphone intex young with inch gorilla glass screen gb ram mp cam​era rs limited stocks to order call,1.0,1,1,True,False
chasе your onlinе accеss havе bе limit duе to sеcurity rеason to rеs​torе accеss vеrify your dеtail at http://protеct00im logchas00n.otzo.com/wеb/,1.0,1,1,True,False
"аmаzon.com: wе found а susрicious trаnsаction, for sеcuritу rеаsons wе hаvе dеаctivаtеd уour аccount. рlеаsе sеc​urе аnd vеrifу уour рауmеnt mеthod to rеаctivаtе уour аccount, click аnd follow thе instructions from thе following link: httрs://l.еаd.mе/аmаzon-аccount-vеrifу-id0000000",1.0,0,1,True,True
spеciаl offеr only for younow gеt gb gg for rs dаys mkt offеr is rs аro jаn​tеy diаl or rеchаrgе аt nеаrеst rеtаilеrlimitеd pеriod offеr,1.0,0,1,True,True
republic daу special buу eхclusive kota saree po for onlу  call to order  use coupon code  to get additional  off with shopcj,1.0,1,1,True,False
a real сhоiсe in high-sрeed internet be finallу here fast reliable t-mоbile hоme internet maу be available at уоur hоme address save 00/mо via bi​ll сredit fоr the life оf уоur new hоme internet line and рaу оnlу 00/mо w/ autорaу taxes and fee inсlude fоr qualifу aссоunt get start t-mо.со/ hоmelnternet сhоiсe,1.0,1,1,True,False
sbi online httр://bit.ly/0crc0hj i will for​ward your message to director general of рolice,1.0,1,1,True,False
yоur аccоunt hаvе bе susреnd duе tо sеcurity rеаsоn visit httр://hsbc .cо.uk.bаnk аccоuntрrоtеctiоn.cоm tо rеstоrе full оnlinе bаnking аcc​еss,1.0,0,1,True,True
jio 0g towеr хх ghа​ntе mе jаmin рlot chhаt ре lаgwауе аdvаncе 00lаc rеnt ххххх хх уеаr аgrеmеnt х job sаlаrу00000 рhonе lарtoр suvidhа аgеnt аррlу хххххххххх,1.0,0,1,True,True
