text,label,url_features
oh izzit. anything lo,0.0,[0. 0. 0. 0.]
dear supr customer you have rs 000.00 supr credits remaining out of which rs 000.00 supr credits will expire on xx-xx-xxxx supr credits can be use to purchase a wide variety of grocery on the app please utilise your supr credits before they expire supr daily,0.0,[0. 0. 0. 0.]
bblp later 0 have ur cute boy show. heee channel u.,0.0,[0. 0. 0. 0.]
lol rain now means later confirm good weather leh haha,0.0,[0. 0. 0. 0.]
i'll buy imperishables for you!,0.0,[0. 0. 0. 0.]
omg! wah he's worst than raymund. haha. no u didn't tell me that.this's way to sick. haha.,0.0,[0. 0. 0. 0.]
"hahaha i dun think you can see me, i'm at the other end of the stage,near the steps!",0.0,[0. 0. 0. 0.]
"haven't noticed this thing, im a newbie",0.0,[0. 0. 0. 0.]
special offer for you unlimited loc airtel night calling freeamam for  days with rs hurry offer only for limited timerecharge at airtel retailer,0.0,[0. 0. 0. 0.]
"just came, whr ru?",0.0,[0. 0. 0. 0.]
congratulations! 00xxxxxxx00 is one of the few lucky who can access our exclusive famous quotes service! to get started call *000*0*0# now! n00/day.,1.0,[0. 0. 0. 0.]
your anz account have be suspend click here for re verify your data,1.0,[0. 0. 0. 0.]
congratulations welcome to icici bank credit cards your application have be approve and your new card will be deliver in x working day,1.0,[0. 0. 0. 0.]
still using g on a g phone switch to vodafone supernet g  get gb free g internet sms gsim to  to get g sim at your doorstepoffer valid for days,1.0,[0. 0. 0. 0.]
great news! new jobs have just been added to the phillips consulting job listing  be the first to apply. subscribe to daily job alerts  text alerts to 0000,1.0,[0. 0. 0. 0.]
barclays alert: payment of $000.00 processed successfully for account 0000.,0.0,[0. 0. 0. 0.]
u r a winner u ave been specially selected 0 receive å£0000 cash or a 0* holiday (flights inc) speak to a live operator 0 claim 0000000000000p/min (00 ),1.0,[0. 0. 0. 0.]
order #000000000 from best buy has been delayed. we apologize for the inconvenience.,0.0,[0. 0. 0. 0.]
for taking part in our mobile survey yesterday! you can now have 000 texts 0 use however you wish. 0 get txts just send txt to 00000 t&c www.txt00.com 0.00p,1.0,[0. 0. 0. 0.]
hurry last  days of dominos super value online fest get  offam pm order online dominos co in app http apps dominos co in cpn mob vld till th t c,0.0,[0. 0. 0. 0.]
get  more value on data with 0000mb at n0000 to browse  chat  download  for a whole month. simply text spb to 000 to activate.,1.0,[0. 0. 0. 0.]
low balance alert: your schwab account 0000 has dropped below $000.,0.0,[0. 0. 0. 0.]
well if i'm that desperate i'll just call armand again,0.0,[0. 0. 0. 0.]
download myvodafone app for recharge  balance check  usage info  best offers n more install now httpgooglswbn free app usage with no internet charges,1.0,[0. 0. 0. 0.]
"today's offer! claim ur å£000 worth of discount vouchers! text yes to 00000 now! savamob, member offers mobile! t cs 00000000000. å£0.00 sub. 00 . unsub reply x",1.0,[0. 0. 0. 0.]
thank you for calling  best offers talktime call rate offers  sms pack  dialer tone vas offers  my account,1.0,[0. 0. 0. 0.]
love has one law,0.0,[0. 0. 0. 0.]
and now electricity just went out fml.,0.0,[0. 0. 0. 0.]
chinese ...,0.0,[0. 0. 0. 0.]
dear customeravail upto  bonus miles on your first spend within  days  another  bonus miles on spending total of rs on your new jetprivilege hdfc bank world credit card tc apply,1.0,[0. 0. 0. 0.]
dearie!! on  <#>  le. muacks! get home safe ah! i'm so happy to have u. hee.,0.0,[0. 0. 0. 0.]
am at colarmrud incase u wnt 0 cum pls help bring water.,0.0,[0. 0. 0. 0.]
"ya, im at home 0rw.. bt girisha s havin anothr assignmnt to submit 0rw.. wht abt mondy?",0.0,[0. 0. 0. 0.]
standard bank anti fraud dear client we be happy to inform you that your card fraud claim be resolve your refund will reflect on your statement within xx hour,1.0,[0. 0. 0. 0.]
dominos valentines day special get  off today ampm on min bill of celebrate with your loved ones order   dominoscoin cpn crm tc,0.0,[0. 0. 0. 0.]
special grocery offer hurry only till midnight upto  off on grocery flat rs  extra  on mobikwik coupon  ss minorderrs wwwaskmegrocerycom,0.0,[0. 0. 0. 0.]
ok i msg u b0 i leave my house.,0.0,[0. 0. 0. 0.]
i love yooooou,0.0,[0. 0. 0. 0.]
sms auction you have won a nokia 0000i. this is what you get when you win our free auction. to take part send nokia to 00000 now. hg/suite000/0lands row/w0jhl 00+,1.0,[0. 0. 0. 0.]
000.00ngn has been credited. main bal:n 000.00. enjoy 0k/s on bounce0bounce campus zone calls free 00mb. dial #000# to check data bonus,1.0,[0. 0. 0. 0.]
dear customer your payt 'm document has expire today your service will block within xx hrs call us xxxxxxxxxx immediately thank you,1.0,[0. 0. 0. 0.]
dear customer otp for quick transfer of rs xxxxx from your a/c endingc end xxxx be xxxxxxxx do not share with anyone,1.0,[0. 0. 0. 0.]
