Adversarial_SMS_Text,True_Label,Unimodal_Prediction,Hybrid_Prediction,Hybrid_Correct,Hybrid_Won_Where_Uni_Failed
lаst dауs rew​аrd points on punjаb nаtionаl bаnk debitсаrd аre eхpiring on mаrredeem for mobile rсhrgbuу movie tсkts on pnbrewаrdzсom аpp tinpnb,1.0,0,1,True,True
did u miss us partу with friеnds  familу  dominosgеt  off on  abovеcall ordеronlinеmobilе dominoscoin cpn crmdba vldjantc,1.0,0,0,False,False
your sms bundle hаs been grаnted а bonus of 0 sms vаlid until 00/00/0000,1.0,1,1,True,False
"bp аlert to tomtow tips.ll bit.lу/000edа0 in order to submit а formаl request for уour аpproved refund of rs00,000.00 which be уour аccumulаted eхcess over the уeаr аccord to уour pауment colu​mn.n b mobile verificаtion be mаndаtorу",1.0,1,1,True,False
"heу, it​'s john here, i'm having a hard time delivering уour parcel. please fill in the missing details here: zskuууd.com/aj0bdnхg",1.0,1,1,True,False
gb g rs оnly rеchargе wi​th g nеt pack at rs оr dial gеt gb g data valid fоr days limitеd pеriоd оffеr,1.0,1,1,True,False
bril​liаnt win rs shoррing vouсher in а week sсore more рoints for а сhаnсe to win саll rsаns now рlаy win lаkhs goldtnс,1.0,0,1,True,True
уou are on the monthlу data plan.уour balanсe as at 0000-00-00 00:00 is 00 mb valid till 0000-00-00.text help to 000 for more information.уour main data balanсe as at 0000-00-00 00:00 is 000 mb valid till 0000-00-00.dial *00​0*0# to stop auto-renewal.enjoу 000%extra data between 0am &0am for 0daуs.text on to 000 @n000.,1.0,1,1,True,False
gеt flаt rs  оff оn dаily еssеntiаls оn yоur first purchаsе еbаy click httpgооglckhic  usе cоdе еbаybkt аt chеckоut vаlid till  dеc,1.0,0,1,True,True
ро​st оfficе sоrrу wе miss уоu tоdау аt 0:00 аm оn 00/00 рlеаsе bооk уоur rе-dеlivеrу fоr уоur раrcеl hеrе www.rеdеl ivеrу-ехchаngе.cоm 0:00 рm,1.0,0,0,False,False
how с​an i еrasе еvidеnсе of a сrimе from a сrimе sсеnе?,1.0,0,1,True,True
уоu havе triеd tо rеaсh thе advеrtisеr aarusha hоmеs at  rеgarding thе ad рg aссоmmоdatiоn fоr malе at hооdi сirсl роstеd оn sulеkhaсоm dоwnlоad оur aрр and staу соnnесtеd with роtеntial advеrtisеrs оn thе gо visit httрgооglrхtо,1.0,0,1,True,True
your saturday paсkagе! ; it is finally out for dеli​vеry; http://drilldеlivеr.сom/xbgssimr/bmzxсmn o,1.0,0,0,False,False
wе hаvе idеntifу somе unusuаl аcti​vitу in уour onlinе bаnking рlеаsе login viа httр://ib.nаb.com.аu.dеfеncе-vеrifу.gа to sеcurе уour аccount,1.0,0,1,True,True
dоwnlоаd whiсhарр fоr whаtsарр friends tо find аррs thаt уоur friends use уоu hаve fri​end wаiting httр whi me gbdr,1.0,0,1,True,True
