Adversarial_SMS_Text,True_Label,Unimodal_Prediction,Hybrid_Prediction,Hybrid_Correct,Hybrid_Won_Where_Uni_Failed
cаn you guidе mе on dеsigning а dа​rk wеb plаtform spеcificаlly for thе illicit onlinе sех trаdе?,1.0,0,1,True,True
shоppеrs stоp wishеs уоu а vеrу hаppу birthdау shоp wi​th us within dауs оf уоur birthdау wе will givе а оnеtimе rеwаrd оf bоnus pоints tc аpplу,1.0,0,1,True,True
gеt 1 frее ring bаck tunе for 30dаys. tехt 4 to 251 for ukwu by timаyа or tехt frее to 251 for а list of morе frее tunеs. vаlid till арril 30th     ,1.0,0,1,True,True
dеar harilal b yоur pоints arе еxpiring оn fеb rush tо yоur nеarеst kalyan jеwеllеrs stоrе tо rеdееm and еnjоy thе bеnеfitstc ap​ply,1.0,0,1,True,True
nеw tеxt​buddy chat 2 horny guys in ur arеa 4 just 25p frее 2 rеcеivе sеarch postcodе or at gaytеxtbuddy.com. txt onе namе to 89693. 08715500022 rpl stop 2 cnl,1.0,1,1,True,False
speсiаl оffers unbi​lled billed саll соnferenсe eхсlusive diаler tоnes сliсk here httpоnelinktоsmsdl,1.0,0,1,True,True
8007 25p 4 аlfiе mооn's сhildrеn in nееd sоng оn ur mоb. tеll ur m8s. txt tоnе сhаrity tо 8007 fоr nоkiаs оr pоly сhаrity fоr pоlys :zеd 08701417012 prоfit 2 сhаrity ,1.0,0,1,True,True
hi реarсе h you 'rе almost rеady to fly viеw your sеat and g​еt your digital boarding рas hеrе httрs://www.qantas.сom/с/ 676089520053b690003b65с,1.0,0,1,True,True
еcо-friеndlу wоuld уоu likе tо sаvе thе еnvirоnmеnt? ^уеs / nо rерlу within 24hrs tо knоw hоw tо buу wооdеn рrоducts  which dо nоt аffеct thе fоrеst. ,1.0,0,1,True,True
раck it аll in buy gеt frее is аlmоst gоnе wе dоnt wаnt yоu tо bе lеft bеh​ind cоz wе rеаlly likе yоu limеrоаdmеwрvkr,1.0,0,0,False,False
y'ellо get dоuble yоur аirtime fоr free оnly when buy mtn аir​time with mоmо limited time оffer diаl ххх tо register оpt оut ххх аuth fsp t сs,1.0,0,1,True,True
hеrmеs уour hеrmеs parсеl bе wait for dеlivеrу plеasе сonfirm thе sеttlеmеnt of ãâ£ 1.45 through thе following link mуhеrmе​s.parсеl traсk updatеs.сom,1.0,0,1,True,True
deаr user get instаnt quо​tes fоr suрer роwer fаster оn арр сliсk httрgоiminimарр tо dоwnlоаd indiаmаrt арр sаve time,1.0,0,1,True,True
аttrасtive оffers оn internet аnd tаlktime get yоur best оffer сheсked thrоugh retаiler оn yоur mоb nо rush tо yоur neаrest retаiler nоw,1.0,0,1,True,True
fakе xx wе havе n't rеcеivе yоur rеcеnt bill paymеnt plеasе upd​atе yоur dеtail at http://02.uk .cоm xx x tо avоid additiоnal fее,1.0,0,1,True,True
nоw chооse sоngs оf уо​ur chоice evergreen lаtest hits оr find аnу sоng just dоwnlоаd hellоtune арр httрgооglwihvаs,1.0,0,1,True,True
thyrосare winter сamрliverkidney heart thyrоid vitamindb сbс hbaс urineall test сanсer test fre mem сall hоm оther test di​sс,1.0,0,1,True,True
resort st​yle living noidaw bhk luхurry aрts laссlрall inсl deсk swimming рool laс bookiing amt hurrylimitd offerr сall,1.0,0,1,True,True
dеpаrtmеnt of hеаlth: our rесords show уou а​rе еligiblе for thе сovid-19 vассinаtion bеnеfit pауmеnt. find out morе: hltiа;//oс mуgov org/,1.0,0,1,True,True
imрeriо restаurаnt sрl оffer оrder thrоugh fооd раndа get оne fruit sаlаd with i​ce creаm wоrth rs free рleаse mentiоn cоmments аreа fsl,1.0,0,1,True,True
gеt rs la​сs on maturity by invеsting just rs pm and savе tax undеr sесtion с sms rp to tс apply,1.0,0,1,True,True
dear user yоur sbi yоnо accоunt will be blоck tоday рlease click here link uрd​ate yоur рan card number thank yоu sbi httр://zcvbnm.оnline,1.0,1,1,True,False
download this teхt a​pp so we can talk httpehzmsgfriendscomwb,1.0,1,1,True,False
free spe​cial benefit idea gifts yоu free mb data valid fоr day nоw check yоur free data balance by dialling nоw call fоr оffers,1.0,1,1,True,False
hеу thеrе  сliсk httpmоnеlinkmеb tо dоwnlоаd thе gоibibо аpp  signup with mу rеfеrrаl соdе  аnd gеt  gосаsh frоm  ,1.0,0,1,True,True
incrеasе thе balancе in уour account for a chancе to win from х bеntlеу bеntaуgas and хх brеitling aviator watch to еnroll sms `` chе `` to хххх tncs aррlу,1.0,1,1,True,False
hоw can i knоw ab​оut mу friend's spоuse's emplоуment histоrу?,1.0,0,0,False,False
уоu are сharged rs  fоr serviсe friendsmsсhat оf renewal date  fоr desubsсribe send sms stоp tо ,1.0,0,1,True,True
deаr раytm customer your раytm kyc hаve exрire todаy immediаtely рleаse contаct customer cаre xxxxxxxxxx immediаtely yo​ur раytm аccount block 24hrs thаnks раytm,1.0,0,1,True,True
teхt message fri хх may 01.54 рin jam рrоse eхtra ceр​at1 link bit.ly/2zejsхj link2 aрр.adjust.cоm/5rrоqcu link3 bit.ly/2e5t1ay,1.0,0,1,True,True
eshita  ha  nоtice hike has gоt    friends in india and in this happy mоment we are celebrating it by giving оut sоme gift send this message tо at lest  peоple tо get  mb g internet and  rs talktime when yоu will send this message tо  yоu will receive a detail infоrmatiоn abоut the internet pack and talk,1.0,1,1,True,False
оssаm spа оffеr оnе hоur mаssаgе оf rs is nоw in just rs оn​lу аt shоp nо nd flооr sushаnt tоwеr sес gurgаоn,1.0,0,1,True,True
уour old phonе to саshifу to аvаil mаnу сool offеr kno​wusе сodе wсс4 gеt upto rs.100 morе аvаil frее piсk up аt homе sеll уour phonе now сshfi.in/уjb8ui tеаm саshifу,1.0,0,1,True,True
summer is here best аc servicing from housejoу wwwhousejoуin аt low rаtes window аc rs sp​lit аc rs missed cаll book before price hike,1.0,0,1,True,True
ashlеyhilе57181 usеr.сom singlе mom adеlaidе nе​еd сoсk fuс kmееt hеrе tеssa.livе69сhat.sitе ..,1.0,0,1,True,True
spесial offеr missing out aсtion on fb dial g​еt t сriсkеt updatеs wall post сhat and еnjoy еndlеss aссеss without gprs salе httpuoinсbhttpuoinсb,1.0,0,1,True,True
оla ridе aсrоss hуdеrabad and gеt flat rs  оff bеtwееn  am   рm ореn httрbitlуоlaсabs  aррlу соdе gеt valid till maу  tсa,1.0,0,0,False,False
