message,spam label,smishing label
CANCLE,1,0
Your plan Smallie.is going to be renewed. Please send CANCEL if you do not want this to happen,1,0
Dear Glo subscriber,1,0
Welcome to Smallie. It will expire on 04/09/2014 14:19,1,0
Info,1,0
1,1,0
Please send :1 for  Day Plans2 for  Week Plans3 for  Monthly Plans4 for  Time Based Monthly Plans,1,0
ACTIVATE,1,0
Please send ACTIVATE to 127 for a list of options,1,0
PAYYOU,1,0
STOP,1,1
Dear Customer,1,0
2,1,0
Y'ello! You have 193.53MB in your SME shared data bundle,1,0
Y'ello! You have 500.00MB in your SME shared data bundle,1,0
Y'ello! You have received 250.00MB SME Data Share from 8101541954. Thank you.,1,0
Y'ello! You have received 250.00MB SME Data Share from 8101541954. Thank you.,1,0
Here's a genuine Birthday prayer from the heart of one friend to another,0,0
A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv,0,0
access>>>Credit AlertAmt: NGN 27,1,1
access>>>Debit AlertAmt: NGN 3,1,0
Get access to all our services using ONE code. Dial *200# and select your preferred option      ,1,1
8051416112,0,0
Your Birthday is the perfect opportunity to take a pause in life,0,0
Acct: ******2491Amt: NGN1,0,0
Acct: ******2491Amt: NGN500.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB   Ogun    OGNG STAN9067008984Avail Bal: NGN1,0,0
Acct: ******2491Amt: NGN1,0,0
Acct: ******2491Amt: NGN5,0,0
Acct: ******2491Amt: NGN24.00 DrDesc: SI TRANSACTION (DIFFERENT CUSTOMERS)-SMS CHARGE FOR JULY 2014Avail Bal: NGN7,0,0
Acct: ******2491Amt: NGN200.00 DrDesc: POS-GTBank EBranch UNAAB   Ogun    OGNG STAN9999006519Avail Bal: NGN7,0,0
Acct: ******2491Amt: NGN2,0,0
to  BABALOLA,0,0
Acct: ******2491Amt: NGN10,0,0
Don't worry any longer,0,0
Some of ur confidence is wickedness to me. Continue U see d result oneday.,0,0
It won't be funny if u keep on telling me that u are not coming and I later see u. If that is what they asked u to do,0,0
140066036874470. I love u.,0,0
Miles may lie between us but we are never far apart. For love doesn't count the miles. It's measured by the heart. I love you. Sweet dreams ,0,0
Like the stars were made to twinkle,0,0
U asked wat is makin me think,0,0
Like the stars were made to twinkle,0,0
I love you more today than I did yesterday,0,0
Who are d 'they'? If God say U wil see me again U wil. Thank God we av 'they' btw us now.,0,0
Oni Oluwatoyin Florence...01XXXXXX3. Happy new month.,0,0
Dear BABALOLA,0,0
Yemisi,0,0
Yemisi,0,0
Your Viber code is: 5398.Close this message and enter the code into Viber to activate your account.,1,1
Your Viber code is: 3007.Close this message and enter the code into Viber to activate your account.,1,1
01XXXX23 babalola andrew olawale,0,0
oji GTB ACCOUNT No. 0032813486. Abeokuta.  Regards,0,0
Good day.  Please note that your house rent expired on 31st Dec. 2013. Please ensure you pay immediately into the account below.  OLUWAGBENRO Thomas Olus,0,0
20XXXXXX71 Babalola Adegboyega D,0,0
Shed that unwanted weight effortlessly! Text WEIGHT to 33201 & receive healthy yet effective tips on weightloss. N30/SMS. Text STOP to 33111 to Opt-Out,1,1
LAST INVITATION FOR 8037202112!TODAY 02/09'Centenary Mega Jackpot' chose you to participate for N100 MLN!ONLY A FEW DAYS LEFT!Send WIN to 35777!N100/SMS,1,1
Change is not a threat its an opportunity. Transform your business today with money shop. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1
A health tip a day keeps the doctor away! To find out how,1,0
