Adversarial_SMS_Text,True_Label,Unimodal_Prediction,Hybrid_Prediction,Hybrid_Correct,Hybrid_Won_Where_Uni_Failed
"уour саrd h​аs been сhаrged $000.00 for the shipping of уour mаdshne 00"""" саged сeiling fаn with lights. саll аssistаnсe аt +00000000000 on 00/mау/0000",1.0,0,1,True,True
win rs shopping vouсher weeklу bу sсoring points са​ll now tс,1.0,0,1,True,True
imрortant your nab internet ban​king have be temрorarily loсk to restore рlease visit httр://nabsuррort.info/verify immediately,1.0,1,1,True,False
invеst ju​st rs pеr daу gеt rs crorе lifе covеr savе taх us c sms ip to tc applу,1.0,1,1,True,False
unbеliеvаblе lоwеst еvеr grосеrу rаtеs gеt  оff оn grосеrу flаt   ехtrа  оn mоbikwik соupоn ss frее dеlivеrу limitеd оffеr wwwаskmеgrосеrусоm,1.0,0,1,True,True
world cup finаlsааj t​oh kfc bаntа hаi ordеr thе kfc supеrs buckеt now gеt pc of chickеn rs only cаll tc аpply,1.0,0,1,True,True
tо knоw уоur unbilled amо​unt send sms bill tо fоr last bill summarу mbill tо dial tоll free tо get the details fоr bill summarу оffers talk plan services new оffers data plan,1.0,1,1,True,False
mrp : rs. 00 spl оffer : wth 000 dауs tаriff vаliditу! rechаrge with rs 00-cаll аnу аirtel nо in indiа lоcаl & std аt 00p/min & аnу оther phоne аnуwhere 0000000000:its neither аn end nоr а beginning but а gоing оn with аll the wisdоm thаt eхperience cаn instill in us. mау eаch dау оf the cоming уeаr in indiа аt 00p tаlktime : rs. 0.00 vаliditу : 0 dауs.be vib​rаnt аnd new bringing аlоng mаnу reаsоns fоr celebrаtiоns.wishing уоu аnd уоur fаmilу а verу hаppу аnd prоsperоus new уeаr.sаndeep gаttаni.,1.0,0,1,True,True
hi its lu​сy hubby at meetins all day fri & i will b alоne at hоtel u fanсy сumin оver? pls leave msg 0day 00000000000 luсy х сallså£0/minmоbsmоrelkpоbох000hp00fl,1.0,0,1,True,True
dеar сustоmеr уоu sbi a/с havе bе dеaсtivatе plеasе updatе уоur kус fоrm visit t​hе link and submit dеtail http://bit.lу/00mwbxh,1.0,1,1,True,False
absоlutelу deроsit free gas соnneсtiоn tо bрl families fоr limited рeriоd hu​rrу uр соntaсt bharatgas distributоrs bуndооr рh,1.0,0,1,True,True
`` pradhan mantri lоan уоjna 0.00 ratе оf intеrеst all tуpеs lоan x lakh tо x cr x mоnth nо еmi nо hеlplinе -xxxxxxxxxx,1.0,0,1,True,True
rm​arg erр fulfill all уour inventorу aссounting needs rsover lakh usersсenters for training suррort missсall free demo,1.0,1,1,True,False
yоur а с саn be сredit with rs.000000 enter yоur detаil сheсk nоw eоn.me/00dibа,1.0,0,1,True,True
dhanwantarу уоur trustеd pharmaсу sinсе оffеrs uptо disсоunt with fr​ее hоmе dеlivеrу оf mеdiсinеs tс applу kееp wеll staу blеssеd,1.0,0,1,True,True
gm v r building  bеаutiful villаs in kodаikkаnаl   villаs in  аcrеs  supеrb viеw cаn sее upto pаlаni from thе  propеrtу nеаr to аll rеsorts   v hаvе prеmium guеst housе in kodаikkаnаl for rеnt in  а fаntаstic locаtion   v  hаvе prеmium flаts in tеmplе town  mауilаduthurаi opp to tеmplе аnd cеntrе of аll nаvаrgrаhа tеmplеs   wwwshsаdvisorуgroupcom kodаikkаnаlluхurуvillаcom,1.0,0,1,True,True
