text,category,label
Warning: Unusual login attempt detected on your Amazon. Verify your identity.,urgency,phishing
Urgent! Your Google has been compromised. Click here to secure it now!,urgency,phishing
This is an official notice from Amazon. Your account requires immediate verification.,authority,phishing
"As per HMRC regulations, you must update your tax details immediately.",authority,phishing
Immediate action required: Your Spotify subscription is expiring. Renew now.,urgency,phishing
This is an official notice from PayPal. Your account requires immediate verification.,authority,phishing
Warning: Unusual login attempt detected on your Amazon. Verify your identity.,urgency,phishing
You’ve been selected for a premium cloud storage trial. Sign up now before the offer expires.,persuasion,phishing
Immediate action required: Your Spotify subscription is expiring. Renew now.,urgency,phishing
You’ve been selected for a premium email trial. Sign up now before the offer expires.,persuasion,phishing
Special access granted! Login now to receive your free e-book before it’s too late.,persuasion,phishing
Congratulations! You have won a free vacation. Click here to claim your reward.,persuasion,phishing
You’ve been selected for a premium banking trial. Sign up now before the offer expires.,persuasion,phishing
"As per Social Security Administration regulations, you must update your tax details immediately.",authority,phishing
Attention: Your recent activity violates our Microsoft policy. Verify your account to avoid penalties.,authority,phishing
Urgent! Your Amazon has been compromised. Click here to secure it now!,urgency,phishing
"Dear user, we noticed irregular transactions in your CitiBank account. Confirm your details now.",authority,phishing
Claim your limited-time buy-one-get-one-free offer on software subscription. Click here to activate your reward.,persuasion,phishing
You’ve been selected for a premium email trial. Sign up now before the offer expires.,persuasion,phishing
Security alert: We have detected suspicious activity on your Outlook. Reset your password now!,urgency,phishing
This is an official notice from Apple. Your account requires immediate verification.,authority,phishing
Warning: Unusual login attempt detected on your Amazon. Verify your identity.,urgency,phishing
Attention: Your recent activity violates our PayPal policy. Verify your account to avoid penalties.,authority,phishing
"As per Customs & Border Protection regulations, you must update your tax details immediately.",authority,phishing
Congratulations! You have won a free vacation. Click here to claim your reward.,persuasion,phishing
Official communication: Your Netflix will be suspended unless you comply with our security update.,authority,phishing
"Dear user, we noticed irregular transactions in your Bank of America account. Confirm your details now.",authority,phishing
Warning: Unusual login attempt detected on your Amazon. Verify your identity.,urgency,phishing
